,Full Name,Born,Current Age,Bats,Bowls,Matches,Died
3536,Mosharraf Hossain,20/11/1981,38 years 350 days,Left Handed,Left Arm Orthodox,5 (2008-2016),
3748,Shafiul Islam,06/10/1989,31 years 29 days,Right Handed,Right Arm Fast Medium,60 (2010-),
3979,Anamul Haque,16/12/1992,27 years 324 days,Right Handed,,38 (2012-),
3980,Mominul Haque,29/09/1991,29 years 36 days,Left Handed,Left Arm Orthodox,28 (2012-),
4651,Ihsanullah Janat,28/12/1997,22 years 312 days,Right Handed,,16 (2017-),
3762,Aftab Alam,30/11/1992,27 years 340 days,Right Handed,Right Arm Medium Fast,27 (2010-),
4430,Liton Das,13/10/1994,26 years 22 days,Right Handed,,36 (2015-),
4633,Najmul Hossain Shanto,25/08/1998,22 years 71 days,Left Handed,Right Arm Off Break,5 (2018-),
4266,Mohammad Mithun Ali,13/02/1990,30 years 265 days,Right Handed,,27 (2014-),
4598,Mehidy Hasan Miraz,25/10/1997,23 years 10 days,Right Handed,Right Arm Off Break,41 (2017-),
4414,Mustafizur Rahman,06/09/1995,25 years 59 days,Left Handed,Left Arm Medium,58 (2015-),
4736,Nazmul Islam,21/03/1992,28 years 228 days,Left Handed,Left Arm Orthodox,5 (2018-),
4677,Mohammad Saifuddin,01/11/1996,24 years 3 days,Left Handed,Right Arm Medium Fast,22 (2017-),
4419,James M Vince,14/03/1991,29 years 235 days,Right Handed,Right Arm Medium,16 (2015-),
3900,Jonathan M Bairstow,26/09/1989,31 years 39 days,Right Handed,Right Arm Medium,83 (2011-),
3981,Joseph Edward Root,30/12/1990,29 years 310 days,Right Handed,Right Arm Off Break,149 (2013-),
3416,Eoin J G Morgan,10/09/1986,34 years 55 days,Left Handed,Right Arm Medium,242 (2006-),
3888,Joseph C Buttler,08/09/1990,30 years 57 days,Right Handed,,145 (2012-),
3883,Benjamin Andrew Stokes,04/06/1991,29 years 153 days,Left Handed,Right Arm Fast Medium,95 (2011-),
4271,Moeen Munir Ali,18/06/1987,33 years 139 days,Left Handed,Right Arm Off Break,106 (2014-),
3846,Christopher Roger Woakes,02/03/1989,31 years 247 days,Right Handed,Right Arm Fast Medium,104 (2011-),
4777,Jofra Chioke Archer,01/04/1995,25 years 217 days,Right Handed,Right Arm Fast,17 (2019-),
3696,Adil Usman Rashid,17/02/1988,32 years 261 days,Right Handed,Right Arm Leg Break,106 (2009-),
4421,Mark A Wood,11/01/1990,30 years 298 days,Right Handed,Right Arm Fast Medium,53 (2015-),
3663,Noor Ali Zadran,10/07/1988,32 years 117 days,Right Handed,Right Arm Medium Fast,51 (2009-),
3813,Javed Ahmadi,02/01/1992,28 years 307 days,Right Handed,Right Arm Off Break,44 (2010-),
4137,Kannaur Lokesh Rahul,18/04/1992,28 years 200 days,Right Handed,,32 (2016-),
3474,Rohit G Sharma,30/04/1987,33 years 188 days,Right Handed,Right Arm Off Break,224 (2007-),
3600,Virat Kohli,05/11/1988,31 years 365 days,Right Handed,Right Arm Medium,248 (2008-),
4027,Vijay Shankar,26/01/1991,29 years 283 days,Right Handed,Right Arm Off Break,12 (2019-),
3243,Mahendra Singh Dhoni,07/07/1981,39 years 120 days,Right Handed,,350 (2004-2019),
4033,Kedar M Jadhav,26/03/1985,35 years 223 days,Right Handed,Right Arm Off Break,73 (2014-),
4399,Hardik H Pandya,11/10/1993,27 years 24 days,Right Handed,Right Arm Medium Fast,54 (2016-),
3993,Mohammed Shami Ahmed,03/09/1990,30 years 62 days,Right Handed,Right Arm Fast,77 (2013-),
4652,Kuldeep Yadav,14/12/1994,25 years 326 days,Left Handed,Left Arm Wrist Spin (Chinaman),60 (2017-),
4062,Jasprit J Bumrah,06/12/1993,26 years 334 days,Right Handed,Right Arm Fast,64 (2016-),
4063,Yuzvendra Singh Chahal,23/07/1990,30 years 104 days,Right Handed,Right Arm Leg Break,52 (2016-),
3418,William Thomas Stuart Porterfield,06/09/1984,36 years 59 days,Left Handed,Right Arm Off Break,139 (2006-),
3586,Paul Robert Stirling,03/09/1990,30 years 62 days,Right Handed,Right Arm Off Break,120 (2008-),
3393,Edmund Christopher Joyce,22/09/1978,42 years 43 days,Left Handed,Right Arm Medium,78 (2006-),
3417,Niall John O'Brien,08/11/1981,38 years 362 days,Left Handed,,103 (2006-),
3473,Gary Craig Wilson,05/02/1986,34 years 273 days,Right Handed,,105 (2007-),
3391,Kevin Joseph O'Brien,04/03/1984,36 years 245 days,Right Handed,Right Arm Medium Fast,148 (2006-),
3475,Alex R Cusack,29/10/1980,40 years 6 days,Right Handed,Right Arm Medium Fast,59 (2007-2015),
3389,John F Mooney,10/02/1982,38 years 268 days,Left Handed,Right Arm Medium,64 (2006-2015),
3385,David Trent Johnston,29/04/1974,46 years 189 days,Right Handed,Right Arm Fast Medium,67 (2006-2013),
3958,Timothy James Murtagh,02/08/1981,39 years 94 days,Left Handed,Right Arm Fast Medium,58 (2012-),
3752,George Henry Dockrell,22/07/1992,28 years 105 days,Right Handed,Left Arm Orthodox,87 (2010-),
4507,Yamin Ahmadzai,25/07/1992,28 years 102 days,Right Handed,Right Arm Medium Fast,4 (2015-),
4569,Sean P Terry,01/08/1991,29 years 95 days,Right Handed,Right Arm Off Break,5 (2016-2016),
4326,Stuart W Poynter,18/10/1990,30 years 17 days,Right Handed,,21 (2014-),
4294,Andrew Robert McBrine,30/04/1993,27 years 188 days,Left Handed,Right Arm Off Break,48 (2014-),
4563,Barry J McCarthy,13/09/1992,28 years 52 days,Right Handed,Right Arm Medium,31 (2016-),
4375,Peter K D Chase,09/10/1993,27 years 26 days,Right Handed,Right Arm Medium Fast,25 (2015-),
3730,Shafiqullah,07/08/1989,31 years 89 days,Right Handed,,24 (2009-),
3809,Andrew Balbirnie,28/12/1990,29 years 312 days,Right Handed,Right Arm Off Break,70 (2010-),
4687,Simi Singh,04/02/1987,33 years 274 days,Right Handed,Right Arm Off Break,20 (2017-),
3459,William Boyd Rankin,05/07/1984,36 years 122 days,Right Handed,Right Arm Medium Fast,75 (2007-),
4926,James Alexander McCollum,01/08/1995,25 years 95 days,Right Handed,Right Arm Medium,9 (2019-),
5089,Mark Richard Adair,27/03/1996,24 years 222 days,Right Handed,Right Arm Fast,13 (2019-),
3802,James D Hall,19/10/1988,32 years 16 days,Right Handed,Right Arm Off Break,3 (2010-2010),
3585,Andrew D Poynter,25/04/1987,33 years 193 days,Right Handed,Right Arm Off Break,19 (2008-2014),
3392,Andrew R White,03/07/1980,40 years 124 days,Right Handed,Right Arm Off Break,61 (2006-2014),
3803,Nigel G Jones,22/04/1982,38 years 196 days,Right Handed,Right Arm Medium,14 (2010-2011),
3804,Rory D McCann,11/01/1985,35 years 298 days,Right Handed,,8 (2010-2010),
4300,Usman Ghani,20/11/1996,23 years 350 days,Right Handed,,15 (2014-2017),
4245,Afsar Zazai,10/08/1993,27 years 86 days,Right Handed,,17 (2014-2017),
4315,Nasir Jamal Ahmadzai,21/12/1993,26 years 319 days,Right Handed,Right Arm Leg Break,16 (2014-),
4237,Stuart Robert Thompson,15/08/1991,29 years 81 days,Left Handed,Right Arm Medium Fast,20 (2013-2017),
4585,Jacob Mulder,11/08/1995,25 years 85 days,Right Handed,Right Arm Leg Break,4 (2017-2017),
4928,Ikram Ali Khil,29/09/2000,20 years 36 days,Left Handed,,12 (2019-),
4782,Zahir Khan Pakteen,20/12/1998,21 years 320 days,Left Handed,Left Arm Wrist Spin (Chinaman),1 (2019-),
3621,Seren Waters,11/04/1990,30 years 207 days,Right Handed,Right Arm Leg Break,20 (2008-2011),
2978,David O Obuya,14/08/1979,41 years 82 days,Right Handed,,74 (2001-2012),
2979,Collins O Obuya,27/07/1981,39 years 100 days,Right Handed,Right Arm Leg Break,104 (2001-2014),
2914,Stephen O Tikolo,25/06/1971,49 years 132 days,Right Handed,Right Arm Medium,135 (1996-2014),
3612,Rakeep R Patel,12/07/1987,33 years 115 days,Right Handed,Right Arm Leg Break,39 (2008-2014),
3222,Maurice A Ouma,08/11/1979,40 years 362 days,Right Handed,Right Arm Off Break,80 (2004-2014),
2740,James K Kamande,12/12/1978,41 years 328 days,Right Handed,Right Arm Fast Medium,86 (1999-2011),
2806,Thomas M Odoyo,12/05/1978,42 years 176 days,Right Handed,Right Arm Medium Fast,136 (1996-2014),
3346,Nehemiah N Odhiambo,07/08/1983,37 years 89 days,Right Handed,Right Arm Medium Fast,69 (2006-2014),
3510,Elijah Otieno,03/01/1988,32 years 306 days,Right Handed,Right Arm Medium Fast,26 (2007-2014),
3805,James O Ngoche,29/01/1988,32 years 280 days,Right Handed,Right Arm Off Break,18 (2010-2013),
3345,Tanmay Mishra,22/12/1986,33 years 318 days,Right Handed,,42 (2006-2013),
3819,Noor-ul-Haq,02/04/1992,28 years 216 days,Right Handed,Right Arm Off Break,2 (2010-2010),
3827,Abdullah Mazari,07/03/1987,33 years 242 days,Left Handed,Left Arm Orthodox,2 (2010-2010),
3828,Izatullah Dawlatzai,10/05/1991,29 years 178 days,Right Handed,Right Arm Fast Medium,5 (2010-2015),
3509,Alex A Obanda,25/12/1987,32 years 315 days,Right Handed,Right Arm Medium Fast,49 (2007-2014),
3806,Francis N Otieno,25/08/1979,41 years 71 days,Right Handed,Right Arm Medium,4 (2010-2010),
3750,Shem O Ngoche,06/06/1989,31 years 151 days,Right Handed,Right Arm Off Break,13 (2010-2014),
3755,Nelson M Odhiambo,21/03/1989,31 years 228 days,Right Handed,Right Arm Fast Medium,8 (2010-2013),
3893,Irfan A Karim,25/09/1992,28 years 40 days,Left Handed,Right Arm Off Break,9 (2011-2014),
4240,Dhiren M Gondaria,05/12/1994,25 years 335 days,Right Handed,Right Arm Medium Fast,2 (2013-2013),
3223,Rageg G Aga,10/07/1984,36 years 117 days,Right Handed,Right Arm Medium Fast,12 (2004-2014),
3422,Hiren A Varaiya,09/04/1984,36 years 209 days,Right Handed,Left Arm Orthodox,63 (2006-2014),
4241,Gurdeep Singh,19/01/1998,22 years 290 days,Left Handed,Right Arm Leg Break,1 (2013-2013),
3408,Alexei N Kervezee,11/09/1989,31 years 54 days,Right Handed,Right Arm Medium,39 (2006-2012),
3482,Mudassar Bukhari,26/12/1983,36 years 314 days,Right Handed,Right Arm Medium Fast,46 (2007-2014),
3413,Eric S Szwarczynski,13/02/1983,37 years 265 days,Right Handed,,41 (2006-2014),
2955,Bastiaan Zuiderent,03/03/1977,43 years 246 days,Right Handed,Right Arm Medium,57 (1996-2011),
3424,Tom N de Grooth,15/05/1979,41 years 173 days,Right Handed,Right Arm Off Break,34 (2006-2013),
3407,Ryan N ten Doeschate,30/06/1980,40 years 127 days,Right Handed,Right Arm Medium Fast,33 (2006-2011),
3043,Daan L S van Bunge,19/10/1982,38 years 16 days,Left Handed,Right Arm Off Break,37 (2002-2013),
3409,Peter W Borren,21/08/1983,37 years 75 days,Right Handed,Right Arm Medium,58 (2006-2014),
3041,Edgar Schiferli,17/05/1976,44 years 171 days,Right Handed,Right Arm Medium Fast,30 (2002-2013),
3090,Jeroen Smits,21/06/1972,48 years 136 days,Right Handed,,38 (2003-2009),
3412,Peter M Seelaar,02/07/1987,33 years 125 days,Right Handed,Left Arm Orthodox,41 (2006-),
3794,Tom L W Cooper,26/11/1986,33 years 344 days,Right Handed,Right Arm Off Break,23 (2010-2013),
3807,Wesley Barresi,03/05/1984,36 years 185 days,Right Handed,Right Arm Off Break,32 (2010-),
3810,Bradley P Kruger,17/09/1988,32 years 48 days,Right Handed,Right Arm Fast Medium,5 (2010-2011),
3483,Atse F Buurman,21/03/1982,38 years 228 days,Right Handed,,17 (2007-2011),
3444,Mark B S Jonkman,20/03/1986,34 years 229 days,Right Handed,Right Arm Medium Fast,16 (2006-2010),
3040,Adeel Raja,15/08/1980,40 years 81 days,Right Handed,Right Arm Off Break,21 (2002-2011),
3815,Bernard P Loots,19/04/1979,41 years 199 days,Right Handed,Right Arm Medium,7 (2010-2011),
3411,Mohammad Kashif,03/12/1984,35 years 337 days,Right Handed,Left Arm Orthodox,11 (2006-2010),
3949,Zakiullah Zaki,15/07/1990,30 years 112 days,Right Handed,Right Arm Leg Break,1 (2012-2012),
3895,Stephanus J Myburgh,28/02/1984,36 years 250 days,Left Handed,Right Arm Off Break,13 (2011-),
3867,Michael R Swart,01/10/1982,38 years 34 days,Right Handed,Right Arm Off Break,12 (2011-2014),
3944,Timm van der Gugten,25/02/1991,29 years 253 days,Right Handed,Right Arm Fast Medium,4 (2012-2013),
3869,Ahsan Malik,29/08/1989,31 years 67 days,Right Handed,Right Arm Medium Fast,12 (2011-2014),
4252,Sharjeel Khan,14/08/1989,31 years 82 days,Left Handed,Right Arm Leg Break,25 (2013-2017),
3675,Ahmed Shehzad,23/11/1991,28 years 347 days,Right Handed,Right Arm Leg Break,81 (2009-2017),
3101,Mohammad Hafeez,17/10/1980,40 years 18 days,Right Handed,Right Arm Off Break,218 (2003-),
4230,Sohaib Maqsood,15/04/1987,33 years 203 days,Right Handed,,26 (2013-2016),
2262,Misbah-ul-Haq,28/05/1974,46 years 160 days,Right Handed,Right Arm Leg Break,162 (2002-2015),
3721,Umar Akmal,26/05/1990,30 years 162 days,Right Handed,,121 (2009-),
2152,Shahid Afridi,01/03/1980,40 years 248 days,Right Handed,Right Arm Leg Break,398 (1996-2015),
3695,Anwar Ali,25/11/1987,32 years 345 days,Right Handed,Right Arm Medium Fast,22 (2013-2016),
3100,Umar Gul,14/04/1984,36 years 204 days,Right Handed,Right Arm Fast Medium,130 (2003-2016),
3591,Saeed Ajmal,14/10/1977,43 years 21 days,Right Handed,Right Arm Off Break,113 (2008-2015),
3855,Junaid Khan,24/12/1989,30 years 316 days,Right Handed,Left Arm Medium Fast,76 (2011-),
3425,David F Watts,05/06/1979,41 years 152 days,Right Handed,Right Arm Medium,36 (2006-2011),
3797,Preston L Mommsen,14/10/1987,33 years 21 days,Right Handed,Right Arm Off Break,44 (2010-2017),
3795,Joshua H Davey,03/08/1990,30 years 93 days,Right Handed,Right Arm Medium,31 (2010-),
3592,Richard D Berrington,03/04/1987,33 years 215 days,Right Handed,Right Arm Medium Fast,78 (2008-),
2199,Gavin M Hamilton,16/09/1974,46 years 49 days,Left Handed,Right Arm Fast Medium,38 (1999-2010),
3655,Moneeb M Iqbal,28/02/1986,34 years 250 days,Right Handed,Right Arm Leg Break,13 (2009-2014),
3405,Douglas R Lockhart,19/01/1976,44 years 290 days,Right Handed,,14 (2006-2010),
3450,Rana M Haq,11/12/1983,36 years 329 days,Right Handed,Right Arm Off Break,54 (2006-2015),
3796,Matthew A Parker,02/03/1990,30 years 247 days,Left Handed,Right Arm Medium Fast,10 (2010-2010),
3486,Gordon D Drummond,21/04/1980,40 years 197 days,Right Handed,Right Arm Medium Fast,30 (2007-2013),
3402,Johann D Nel,06/06/1980,40 years 151 days,Right Handed,Right Arm Medium Fast,19 (2006-2010),
3668,Raees Ahmadzai,03/09/1984,36 years 62 days,Right Handed,Right Arm Off Break,5 (2009-2010),
3670,Hasti Gul,01/01/1984,36 years 308 days,Right Handed,Right Arm Medium,2 (2009-2009),
3671,Khaliq Dad,01/01/1984,36 years 308 days,Right Handed,Right Arm Fast Medium,6 (2009-2010),
3673,Dawlat Ahmadzai,05/09/1984,36 years 60 days,Right Handed,Right Arm Fast Medium,3 (2009-2010),
3607,Kyle James Coetzer,14/04/1984,36 years 204 days,Right Handed,Right Arm Medium Fast,59 (2008-),
3606,Calum Scott Macleod,15/11/1988,31 years 355 days,Right Handed,Right Arm Medium Fast,66 (2008-),
4006,Matthew W Machan,15/02/1991,29 years 263 days,Left Handed,Right Arm Off Break,23 (2013-2016),
4007,David Murphy,24/06/1989,31 years 133 days,Right Handed,,8 (2013-2013),
3868,Safyaan M Sharif,24/05/1991,29 years 164 days,Right Handed,Right Arm Medium Fast,44 (2011-),
4008,Iain Wardlaw,29/06/1985,35 years 128 days,Right Handed,Right Arm Fast Medium,22 (2013-2015),
4013,Robert M L Taylor,21/12/1989,30 years 319 days,Left Handed,Left Arm Medium,15 (2013-2016),
4235,Hamish J W Gardiner,04/01/1991,29 years 305 days,Right Handed,,11 (2013-2015),
4221,Matthew Henry Cross,15/10/1992,28 years 20 days,Right Handed,,52 (2014-),
4222,Michael A Leask,29/10/1990,30 years 6 days,Right Handed,Right Arm Off Break,34 (2014-),
4220,Freddie R J Coleman,15/12/1991,28 years 325 days,,,16 (2013-2015),
3707,Alasdair C Evans,12/01/1989,31 years 297 days,Right Handed,Right Arm Medium Fast,36 (2009-),
4313,Sharafuddin Ashraf,10/01/1995,25 years 299 days,Left Handed,Left Arm Orthodox,17 (2014-),
3994,Mathurage Don Kusal Janith Perera,17/08/1990,30 years 79 days,Left Handed,,101 (2013-),
3749,Hettige Don Rumesh Lahiru Thirimanne,08/09/1989,31 years 57 days,Left Handed,Right Arm Medium Fast,127 (2010-),
2226,Kumar C Sangakkara,27/10/1977,43 years 8 days,Left Handed,Right Arm Off Break,404 (2000-2015),
2104,Denagamage Proboth Mahela de Silva Jayawardene,27/05/1977,43 years 161 days,Right Handed,Right Arm Medium,448 (1998-2015),
3779,Lokuge Dinesh Chandimal,18/11/1989,30 years 352 days,Right Handed,Right Arm Off Break,146 (2010-),
3628,Angelo Davis Mathews,02/06/1987,33 years 155 days,Right Handed,Right Arm Fast Medium,217 (2008-),
4270,Pinnaduwage Chaturanga de Silva,17/01/1990,30 years 292 days,Left Handed,Left Arm Orthodox,7 (2014-2017),
3747,Narangoda Liyanaarachchilage Thisara Chirantha Perera,03/04/1989,31 years 215 days,Left Handed,Right Arm Medium Fast,164 (2009-),
3178,Separamadu Lasith Malinga,28/08/1983,37 years 68 days,Right Handed,Right Arm Fast Medium,226 (2004-),
3545,Balapuwaduge Ajantha Winslow Mendis,11/03/1985,35 years 238 days,Right Handed,Right Arm Off Break/Right Arm Leg Break,87 (2008-2015),
3745,Ranasinghe Arachchige Suranga Lakmal,10/03/1987,33 years 239 days,Right Handed,Right Arm Medium Fast,85 (2009-),
2217,Christopher Henry Gayle,21/09/1979,41 years 44 days,Left Handed,Right Arm Off Break,301 (1999-2019),
4538,Evin Lewis,27/12/1991,28 years 313 days,Left Handed,,51 (2016-),
4681,Shimron Odilon Hetmeyer,,,Left Handed,Left Arm Wrist Spin (Chinaman),45 (2017-),
2255,Marlon Nathaniel Samuels,05/02/1981,39 years 273 days,Right Handed,Right Arm Off Break,207 (2000-),
4417,Shai Diego Hope,10/11/1993,26 years 360 days,Right Handed,,78 (2016-),
3998,Jason Omar Holder,05/11/1991,28 years 365 days,Right Handed,Right Arm Medium Fast,115 (2013-),
4605,Rovman Powell,23/07/1993,27 years 104 days,Right Handed,Right Arm Medium Fast,34 (2016-),
3908,Carlos Ricardo Brathwaite,18/07/1988,32 years 109 days,Right Handed,Right Arm Fast Medium,44 (2011-),
3859,Ashley Renaldo Nurse,22/12/1988,31 years 318 days,Right Handed,Right Arm Off Break,54 (2016-),
4742,Keemo Mandela Angus Paul,21/02/1998,22 years 257 days,Right Handed,Right Arm Fast Medium,19 (2018-),
3597,Nikita O'Brien Miller,16/05/1982,38 years 172 days,Right Handed,Left Arm Orthodox,50 (2008-),
3611,Kemar A J Roach,30/06/1988,32 years 127 days,Right Handed,Right Arm Fast Medium,92 (2008-),
4587,Nicholas Pooran,02/10/1995,25 years 33 days,Left Handed,,25 (2019-),
4826,Fabian Anthony Allen,07/05/1995,25 years 181 days,Right Handed,Left Arm Orthodox,14 (2018-),
4249,Sheldon S Cottrell,19/08/1989,31 years 77 days,Right Handed,Left Arm Fast Medium,35 (2015-),
4822,Oshane Romaine Thomas,18/02/1997,23 years 260 days,Left Handed,Right Arm Medium Fast,20 (2018-),
4590,Naveen -Ul-Haq Murid,23/09/1999,21 years 42 days,Right Handed,Right Arm Medium Fast,4 (2016-),
4570,Roston L Chase,22/03/1992,28 years 227 days,Right Handed,Right Arm Off Break,30 (2017-),
3465,Kieron A Pollard,12/05/1987,33 years 176 days,Right Handed,Right Arm Medium,113 (2007-),
5662,Romario Shepherd,26/11/1994,25 years 344 days,Right Handed,Right Arm Medium Fast,5 (2019-),
4575,Alzarri S Joseph,20/11/1996,23 years 350 days,Right Handed,Right Arm Fast Medium,28 (2016-),
4956,Hayden Rashidi Walsh,23/04/1992,28 years 195 days,Left Handed,Right Arm Leg Break,10 (2019-),
5471,Ibrahim Zadran,12/12/2001,18 years 328 days,Right Handed,Right Arm Medium Fast,1 (2019-),
2977,Hamilton Masakadza,09/08/1983,37 years 87 days,Right Handed,Right Arm Leg Break,209 (2001-),
4022,Sikandar Raza,24/04/1986,34 years 194 days,Right Handed,Right Arm Medium,102 (2013-),
3169,Brendan R M Taylor,06/02/1986,34 years 272 days,Right Handed,Right Arm Off Break,198 (2004-),
3270,Sean C Williams,26/09/1986,34 years 39 days,Left Handed,Left Arm Orthodox,135 (2005-),
3640,Malcolm Noel Waller,28/09/1984,36 years 37 days,Right Handed,Right Arm Off Break,79 (2009-),
3167,Elton Chigumbura,14/03/1986,34 years 235 days,Right Handed,Right Arm Medium,213 (2004-),
3498,Timycen Maruma,19/04/1988,32 years 199 days,Right Handed,Right Arm Leg Break,21 (2007-),
3918,Natsai M'shangwe,09/02/1991,29 years 269 days,Right Handed,Right Arm Leg Break,6 (2011-2014),
3769,Shingirai W Masakadza,04/09/1986,34 years 61 days,Right Handed,Right Arm Medium,16 (2010-2014),
3438,Tafadzwa Kamungozi,08/06/1987,33 years 149 days,Right Handed,Right Arm Leg Break,14 (2006-2015),
3792,Tendai Larry Chatara,28/02/1991,29 years 250 days,Right Handed,Right Arm Fast Medium,70 (2013-),
3320,C Justice Chibhabha,06/09/1986,34 years 59 days,Right Handed,Right Arm Medium,106 (2005-),
4019,Richmond Mutumbami,11/06/1989,31 years 146 days,Right Handed,Right Arm Off Break,36 (2014-),
3780,Craig Richard Ervine,19/08/1985,35 years 77 days,Left Handed,Right Arm Off Break,95 (2010-),
4004,Confidence Tinotenda Mutombodzi,21/12/1990,29 years 319 days,Right Handed,Right Arm Leg Break,14 (2013-2020),
4319,Luke M Jongwe,06/02/1995,25 years 272 days,Right Handed,Right Arm Medium,22 (2014-2016),
4483,Tendai S Chisoro,12/02/1988,32 years 266 days,Left Handed,Left Arm Fast Medium,20 (2015-),
3168,Tinashe Panyangara,21/10/1985,35 years 14 days,Right Handed,Right Arm Fast Medium,65 (2004-2016),
4482,Wellington Pedzisai Masakadza,04/10/1993,27 years 31 days,Left Handed,Left Arm Orthodox,17 (2015-),
4359,Peter Joseph Moor,02/02/1991,29 years 276 days,Right Handed,Right Arm Off Break,49 (2014-),
4354,Solomon Farai Mire,21/08/1989,31 years 75 days,Right Handed,Right Arm Medium Fast,47 (2014-),
4608,Tarisai Kenneth Musakanda,31/10/1994,26 years 4 days,Right Handed,Right Arm Medium,15 (2016-),
